1403637130.538319 0.5773502691896257 -0.577350269189626 0.5773502691896257 1.3877787807814457e-17, -4.163336342344337e-17 -6.938893903907228e-17 1.0
1403637130.588319 0.5773502691896257 -0.577350269189626 0.5773502691896257 1.3877787807814457e-17, -9.71445146547012e-17 -5.551115123125783e-17 1.0
1403637130.638319 -0.5773502691896256 0.5773502691896264 -0.5773502691896254 -0.5773502691896255, 0.5773502691896261 -0.5773502691896257 1.9229626863835633e-16
1403637130.688319 0.577350269189626 -0.577350269189626 0.5773502691896256 -0.5773502691896257, 0.5773502691896257 -0.5773502691896256 9.614813431917818e-17
1403637130.738319 -0.5773502691896257 0.5773502691896257 -0.5773502691896261 -8.326672684688674e-17, -5.551115123125783e-17 -4.163336342344337e-17 1.0
1403637130.788319 -0.5773502691896256 0.5773502691896256 -0.5773502691896261 -6.938893903907228e-17, -6.938893903907228e-17 -4.163336342344337e-17 1.0
1403637130.838319 -0.5773502691896255 0.5773502691896255 -0.5773502691896262 0.5773502691896257, -0.5773502691896257 0.5773502691896257 -1.4422220147876727e-16
1403637130.888319 -0.5773502691896257 0.5773502691896257 -0.5773502691896257 0.5773502691896256, -0.5773502691896256 0.5773502691896257 4.807406715958909e-17
1403637130.938319 -0.5773502691896257 0.5773502691896258 -0.577350269189626 0.0, -5.551115123125783e-17 -2.7755575615628914e-17 1.0
1403637130.988319 0.5773502691896255 -0.5773502691896255 0.577350269189626 -5.551115123125784e-17, -5.551115123125784e-17 -4.1633363423443376e-17 1.0
1403637131.038319 0.9486227175829429 -0.05342609290443272 0.31186630514135166 0.9486227175829433, -0.05342609290443253 0.3118663051413516 1.865249390194615e-16
1403637131.088319 0.5773502691896258 -0.5773502691896258 0.5773502691896258 0.0, 1.3877787807814457e-17 4.163336342344337e-17 1.0
1403637131.138319 0.577350269189626 -0.5773502691896257 0.5773502691896256 0.5773502691896258, -0.5773502691896257 0.5773502691896257 1.4422220147876727e-16
1403637131.188319 -0.5773502691896257 0.5773502691896258 -0.5773502691896258 1.3877787807814457e-17, -4.163336342344337e-17 2.7755575615628914e-17 1.0
1403637131.238319 0.5773502691896257 -0.5773502691896257 0.5773502691896256 -0.5773502691896257, 0.5773502691896258 -0.5773502691896255 0.0
1403637131.288319 0.5773502691896257 -0.5773502691896257 0.5773502691896257 0.5773502691896256, -0.5773502691896257 0.5773502691896257 0.0
1403637131.338319 -0.5773502691896256 0.5773502691896256 -0.577350269189626 -5.551115123125783e-17, -4.163336342344337e-17 2.7755575615628914e-17 1.0
1403637131.388319 -0.5773502691896253 0.5773502691896264 -0.5773502691896255 1.3877787807814457e-16, -1.3877787807814457e-17 -1.8041124150158794e-16 1.0
1403637131.438319 -0.5773502691896258 0.5773502691896258 -0.5773502691896258 -0.5773502691896256, 0.5773502691896257 -0.5773502691896257 9.614813431917818e-17
1403637131.488319 -0.9999999999999998 3.1079928056996526e-09 -1.755354093138979e-08 0.9999999999999999, -3.1071609796207415e-09 1.7551087031925986e-08 -9.108636127005153e-16
1403637131.538319 0.5773502691896256 -0.577350269189626 0.5773502691896258 -4.163336342344337e-17, -8.326672684688674e-17 -8.326672684688674e-17 1.0
1403637131.588319 0.5773502691896256 -0.577350269189626 0.5773502691896257 0.577350269189626, -0.5773502691896258 0.5773502691896255 4.807406715958909e-17
1403637131.638319 0.5773502691896256 -0.577350269189626 0.5773502691896258 -0.5773502691896257, 0.5773502691896258 -0.5773502691896257 0.0
1403637131.688319 -0.577350269189626 0.5773502691896257 -0.5773502691896257 -0.5773502691896257, 0.5773502691896258 -0.5773502691896257 0.0
1403637131.738319 -0.5773502691896258 0.5773502691896258 -0.5773502691896256 4.163336342344337e-17, 8.326672684688674e-17 8.326672684688674e-17 1.0
1403637131.788319 0.5773502691896258 -0.5773502691896258 0.5773502691896257 1.3877787807814457e-17, 1.3877787807814457e-17 4.163336342344337e-17 1.0
1403637131.838319 -0.5773502691896257 0.577350269189626 -0.5773502691896257 -4.163336342344337e-17, 0.0 5.551115123125783e-17 1.0
1403637131.888319 0.5773502691896258 -0.5773502691896258 0.5773502691896255 5.551115123125783e-17, 5.551115123125783e-17 -4.163336342344337e-17 1.0
1403637131.938319 0.5773502691896266 -0.5773502691896266 0.5773502691896241 -0.577350269189626, 0.577350269189626 -0.5773502691896253 6.249628730746579e-16
1403637131.988319 0.5773502691896251 -0.577350269189626 0.5773502691896262 -0.5773502691896255, 0.5773502691896258 -0.5773502691896258 -1.9229626863835633e-16
1403637132.038319 0.5773502691896258 -0.5773502691896258 0.5773502691896257 2.7755575615628914e-17, 2.7755575615628914e-17 -1.3877787807814457e-17 1.0
1403637132.088319 0.5773502691896257 -0.5773502691896257 0.5773502691896258 0.5773502691896256, -0.5773502691896256 0.5773502691896257 0.0
1403637132.138319 0.5773502691896258 -0.577350269189626 0.5773502691896257 -0.5773502691896257, 0.5773502691896258 -0.5773502691896257 0.0
1403637132.188319 0.5773502691896252 -0.5773502691896256 0.5773502691896264 0.5773502691896255, -0.5773502691896257 0.5773502691896261 -1.9229626863835628e-16
1403637132.238319 -0.5773502691896257 0.5773502691896258 -0.5773502691896256 -1.3877787807814457e-17, 4.163336342344337e-17 2.7755575615628914e-17 1.0
1403637132.288319 0.5773502691896254 -0.5773502691896257 0.5773502691896262 -0.5773502691896257, 0.577350269189626 -0.5773502691896257 -1.9229626863835636e-16
1403637132.338319 -0.5773502691896256 0.5773502691896256 -0.5773502691896258 -0.5773502691896256, 0.5773502691896258 -0.5773502691896257 -9.61481343191782e-17
1403637132.388319 -0.5773502691896258 0.5773502691896257 -0.577350269189626 0.5773502691896256, -0.5773502691896256 0.5773502691896257 0.0
1403637132.438319 0.5773502691896257 -0.5773502691896257 0.5773502691896257 0.5773502691896256, -0.5773502691896257 0.5773502691896258 9.61481343191782e-17
1403637132.488319 0.5773502691896257 -0.5773502691896257 0.5773502691896258 0.5773502691896257, -0.5773502691896257 0.5773502691896257 -4.807406715958909e-17
1403637132.538319 0.577350269189626 -0.5773502691896258 0.5773502691896256 8.326672684688675e-17, 0.0 -5.551115123125784e-17 1.0
1403637132.588319 0.5773502691896257 -0.5773502691896256 0.5773502691896258 0.5773502691896257, -0.5773502691896255 0.5773502691896258 -4.807406715958909e-17
1403637132.638319 -0.5494765365563867 0.04339806631001341 0.8343812939025835 -5.613565168260948e-15, 1.4377388168895777e-14 4.025425826004181e-15 1.0
1403637132.688319 0.5773502691896258 -0.5773502691896256 0.5773502691896258 2.7755575615628914e-17, 1.3877787807814457e-17 0.0 1.0
1403637132.738319 0.5773502691896261 -0.5773502691896258 0.5773502691896254 0.577350269189626, -0.5773502691896257 0.5773502691896256 9.614813431917818e-17
1403637132.788319 -0.5773502691896258 0.5773502691896258 -0.5773502691896256 1.3877787807814457e-17, 5.551115123125783e-17 -2.7755575615628914e-17 1.0
1403637132.838319 -0.25816945012968595 0.764377406144578 0.5908262993430662 -0.25816945012968545, 0.7643774061445778 0.5908262993430664 -3.631135011646209e-17
1403637132.888319 0.5773502691896257 -0.5773502691896256 0.5773502691896258 0.5773502691896257, -0.5773502691896257 0.5773502691896257 -4.807406715958909e-17
1403637132.938319 -0.3498473685190574 -0.78809252859168 0.5064750587326715 0.3498473685190688, 0.7880925285916695 -0.5064750587326798 8.699013032532393e-15
1403637132.988319 -0.5773502691896258 0.5773502691896258 -0.5773502691896257 -0.5773502691896257, 0.5773502691896257 -0.5773502691896257 4.807406715958909e-17
1403637133.038319 -0.2762292292675146 -0.8176076211856975 -0.505188272505746 5.1209037010835345e-14, -1.8859913630819847e-14 2.5875135367670055e-14 1.0
1403637133.088319 -0.6363462806540917 -0.5012456924371881 0.5863583945940127 -0.0028782000024916475, 0.0043934175615276475 -0.0023647521876469673 0.999983410759382
1403637133.138319 0.03866102879135021 0.9834620402239498 -0.1769399341339893 0.03866102879135094, 0.9834620402239495 -0.17693993413399098 9.172252416600927e-17
1403637133.188319 0.7218914571679486 0.3839582292328671 -0.575715904133538 0.0008207983162940463, -0.004362147570432098 0.002097667748747556 0.999987948801741
1403637133.238319 -0.3833543000487261 0.9042378393597967 0.18813136501943978 0.0075154744594945165, 0.0017134772527230716 0.0006012548830697356 0.9999701096192418
1403637133.288319 0.46250380899100674 0.2566550890137272 -0.8486568163587482 0.00017481396324052172, -0.006039301087547496 0.0010611458283168466 0.9999811849489885
1403637133.338319 -0.3601830564666893 0.9129634113679165 -0.19174455751799138 0.0024598739427742263, -0.0008771456551971218 -0.00530707018826345 0.9999825071678514
1403637133.388319 0.21245348475254258 0.9542934287036614 0.2102083936228778 0.01619293123425524, -0.006417373081965878 0.0027605386451830497 0.9998444807704636
1403637133.438319 -0.04092435571249068 0.7166054968696107 0.6962770705443171 0.0050491700196634084, 0.001906495947328097 -0.00488303285279467 0.9999735132219623
1403637133.488319 -0.5170651398287536 0.7479482277703297 0.416193572450482 0.014543465331346624, 0.0031227175596124646 0.0012068135923337417 0.9998886337248524
1403637133.538319 -0.7595844924378733 0.47930115185960565 -0.4396610110914473 0.006162554213288772, 0.0026805494864287857 -0.0036427764019087067 0.999970783453249
1403637133.588319 -0.7082407942469372 0.7046848397942915 -0.04259405978022391 0.0061050984505966665, 0.002024346605080485 -0.001722798213143947 0.9999778306342836
1403637133.638319 -0.39607119887035147 0.7589735356032205 -0.5168043901510023 0.001974307728682692, -0.0009952530875473279 -0.0029245866541731526 0.9999932791640084
